ASSESS_ID,AU_EPACat,PARAM_NAME,R3172ParameterName
UT-L-14040106-033_00,5,TEMPERATURE,Max. Temperature
UT-L-14040106-033_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14040106-033_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020201-004_02,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-14040106-034_00,5,TEMPERATURE,Max. Temperature
UT-L-14040106-034_00,5,PH,pH
UT-L-14040106-034_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040106-034_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14040107-004_00,5,PH,pH
UT-L-14040107-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-006_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14040107-006_00,5,TEMPERATURE,Max. Temperature
UT-L-14060003-230_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060003-230_00,5,TEMPERATURE,Max. Temperature
UT-L-14060003-293_00,5,PH,pH
UT-L-14060004-001_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060004-001_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060004-004_00,5,PH,pH
UT-L-14060004-004_00,5,ARSENIC,Arsenic
UT-L-14060004-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-14060004-004_00,5,BORON,Boron
UT-L-14060007-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060007-005_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060007-005_00,4A,PH,pH
UT-L-14060007-005_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060010-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14060010-001_00,5,PH,pH
UT-L-14060010-002_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-006_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-006_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-008_00,5,TEMPERATURE,Max. Temperature
UT-L-14060010-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14060010-009_00,5,SELENIUM,Selenium
UT-L-14070003-010_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-015_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-015_00,5,PH,pH
UT-L-14070003-019_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070003-019_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070003-044_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070003-044_00,5,TEMPERATURE,Max. Temperature
UT-L-14070003-044_00,5,PH,pH
UT-L-14070003-044_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-14070005-011_00,5,PH,pH
UT-L-14070005-011_00,5,TEMPERATURE,Max. Temperature
UT-L-14070005-011_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14070006-001_00,5,PH,pH
UT-L-14080201-002_00,5,TEMPERATURE,Max. Temperature
UT-L-14080203-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-14080203-002_00,5,PH,pH
UT-L-15010008-001_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-15010008-001_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-15010008-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-15010008-008_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-15010008-008_00,5,TEMPERATURE,Max. Temperature
UT-L-16010202-002_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010202-002_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010202-013_00,5,TEMPERATURE,Max. Temperature
UT-L-16010202-013_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010202-013_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010203-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010203-005_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010203-009_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-012_00,5,PH,pH
UT-L-16010203-012_00,5,TEMPERATURE,Max. Temperature
UT-L-16010203-012_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010204-033_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16010204-033_00,5,TEMPERATURE,Max. Temperature
UT-L-16010204-033_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16010204-033_00,5,PH,pH
UT-L-16020101-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020101-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16020101-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020101-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16020101-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-014_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020102-014_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-014_00,5,TEMPERATURE,Max. Temperature
UT-L-16020102-020_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020102-020_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020102-020_00,5,TEMPERATURE,Max. Temperature
UT14060007-007_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020201-004_01,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-16020201-004_01,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT16010203-008_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020201-004_02,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020201-004_02,5,PH,pH
UT16020102-001_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT16020202-027_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT-L-16020202-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT-L-16020202-002_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020202-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020202-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16020203-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16020203-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16020203-003_00,5,PH,pH
UT-L-16020203-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16020203-004_00,5,PH,pH
UT-L-16020304-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT-L-16030001-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030001-001_00,5,PH,pH
UT-L-16030001-006_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030001-006_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030001-011_00,5,TEMPERATURE,Max. Temperature
UT-L-16030001-011_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-004_00,5,TEMPERATURE,Max. Temperature
UT-L-16030002-004_00,5,PH,pH
UT-L-16030002-004_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030002-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030002-005_00,5,PH,pH
UT-L-16030002-007_00,5,PH,pH
UT-L-16030002-011_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030003-006_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030003-006_00,5,PH,pH
UT-L-16030004-001_00,5,PH,pH
UT-L-16030004-001_00,5,TEMPERATURE,Max. Temperature
UT-L-16030004-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030004-001_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030004-005_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-002_00,5,PH,pH
UT-L-16030006-002_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030006-008_00,5,TEMPERATURE,Max. Temperature
UT-L-16030006-008_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030006-008_00,5,MERCURY IN FISH TISSUE,Fish Tissue (Mercury)
UT-L-16030006-008_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030006-019_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-011_00,5,TEMPERATURE,Max. Temperature
UT-L-16030007-011_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-011_00,5,PH,pH
UT-L-16030007-011_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030007-020_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-020_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030007-025_00,5,PH,pH
UT-L-16030007-027_00,4A,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT-L-16030007-027_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT-L-16030007-028_00,4A,PH,pH
UT-L-16030007-028_00,4A,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14010005-001_00,4A,SELENIUM,Selenium
UT14030001-001_00,5,TEMPERATURE,Max. Temperature
UT14030001-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030001-003_00,5,TEMPERATURE,Max. Temperature
UT14030001-005_00,4A,SELENIUM,Selenium
UT14030004-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030004-001_00,5,TEMPERATURE,Max. Temperature
UT14030005-001_00,5,TEMPERATURE,Max. Temperature
UT14030005-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030005-003_00,4A,SELENIUM,Selenium
UT14030005-004_00,4A,SELENIUM,Selenium
UT14030005-005_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14030005-005_00,5,TEMPERATURE,Max. Temperature
UT14030005-005_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14030005-007_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030005-009_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14030005-010_00,5,TEMPERATURE,Max. Temperature
UT14030005-010_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030005-010_00,5,SELENIUM,Selenium
UT14030005-011_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14030005-011_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030005-011_00,5,TEMPERATURE,Max. Temperature
UT14030005-011_00,5,SELENIUM,Selenium
UT14030005-015_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14030005-019_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14030005-019_00,5,TEMPERATURE,Max. Temperature
UT14040106-003_00,5,ALUMINUM,Aluminum
UT14040106-004_00,5,ALUMINUM,Aluminum
UT14040106-009_00,5,SELENIUM,Selenium
UT14040106-009_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14040106-010_00,5,ALUMINUM,Aluminum
UT14040106-014_00,5,TEMPERATURE,Max. Temperature
UT14040106-014_00,5,ALUMINUM,Aluminum
UT14040106-021_00,5,TEMPERATURE,Max. Temperature
UT14040106-021_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14040106-021_00,5,IRON,Iron
UT14040106-021_00,5,ALUMINUM,Aluminum
UT14040107-001_00,5,PH,pH
UT14040107-001_00,5,ALUMINUM,Aluminum
UT14040107-005_00,5,ZINC,Zinc
UT14040107-005_00,5,ALUMINUM,Aluminum
UT14050007-002_00,5,BORON,Boron
UT14050007-002_00,5,TEMPERATURE,Max. Temperature
UT14050007-002_00,5,SELENIUM,Selenium
UT14050007-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14050007-003_00,5,TEMPERATURE,Max. Temperature
UT14050007-003_00,5,BORON,Boron
UT14050007-003_00,5,SELENIUM,Selenium
UT14050007-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14050007-005_00,5,TEMPERATURE,Max. Temperature
UT14050007-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060001-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14060001-003_00,5,ALUMINUM,Aluminum
UT14060001-004_00,5,SELENIUM,Selenium
UT14060002-001_00,5,SELENIUM,Selenium
UT14060002-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060002-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060002-002_00,5,SELENIUM,Selenium
UT14060002-002_00,5,ALUMINUM,Aluminum
UT14060002-003_00,5,SELENIUM,Selenium
UT14060002-003_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14060002-005_00,5,ALUMINUM,Aluminum
UT14060002-006_00,5,ALUMINUM,Aluminum
UT14060002-007_00,5,ALUMINUM,Aluminum
UT14060003-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-001_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14060003-002_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14060003-002_00,5,BORON,Boron
UT14060003-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-003_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-004_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-005_00,5,ARSENIC,Arsenic
UT14060003-005_00,5,SELENIUM,Selenium
UT14060003-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-005_00,5,BORON,Boron
UT14060003-008_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-008_00,5,TEMPERATURE,Max. Temperature
UT14060003-008_00,5,ALUMINUM,Aluminum
UT14060003-009_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060003-009_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14060003-011_00,5,ALUMINUM,Aluminum
UT14060003-012_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060003-015_00,5,ZINC,Zinc
UT14060003-019_00,5,ALUMINUM,Aluminum
UT14060003-020_00,5,ALUMINUM,Aluminum
UT14060003-021_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060003-024_00,5,PH,pH
UT14060003-024_00,5,ALUMINUM,Aluminum
UT14060003-024_00,5,ZINC,Zinc
UT14060004-001_00,5,PH,pH
UT14060004-002_00,5,ARSENIC,Arsenic
UT14060004-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060004-002_00,5,BORON,Boron
UT14060004-002_00,5,SELENIUM,Selenium
UT14060004-005_00,5,ARSENIC,Arsenic
UT14060004-010_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14060004-011_00,5,ARSENIC,Arsenic
UT14060004-013_00,5,PH,pH
UT14060004-013_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060004-015_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060005-002_00,5,BORON,Boron
UT14060005-002_00,5,TEMPERATURE,Max. Temperature
UT14060005-002_00,5,SELENIUM,Selenium
UT14060005-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060005-003_00,5,TEMPERATURE,Max. Temperature
UT14060005-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060006-001_00,5,BORON,Boron
UT14060007-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060007-003_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14060007-003_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060007-006_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060007-007_00,5,SELENIUM,Selenium
UT16020202-030_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT14060007-007_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060007-007_00,5,BORON,Boron
UT14060007-008_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14060007-013_00,5,TEMPERATURE,Max. Temperature
UT14060007-015_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060007-017_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060007-017_00,5,SELENIUM,Selenium
UT14060008-007_00,5,TEMPERATURE,Max. Temperature
UT14060008-007_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060009-003_00,5,PH,pH
UT14060009-003_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060009-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060009-003_00,5,TEMPERATURE,Max. Temperature
UT14060009-004_00,5,PH,pH
UT14060009-004_00,5,TEMPERATURE,Max. Temperature
UT14060009-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060009-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14060009-007_00,5,PH,pH
UT14060009-007_00,5,TEMPERATURE,Max. Temperature
UT14060009-007_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060009-010_00,5,SELENIUM,Selenium
UT14060009-011_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14060009-011_00,5,PH,pH
UT14060009-013_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14060009-014_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14060009-014_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070002-001_00,5,TEMPERATURE,Max. Temperature
UT14070002-001_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070002-001_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14070002-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070002-002_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14070002-002_00,5,TEMPERATURE,Max. Temperature
UT14070002-002_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070002-003_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070002-003_00,5,BORON,Boron
UT14070002-003_00,5,TEMPERATURE,Max. Temperature
UT14070002-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070002-007_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070002-007_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070002-008_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070003-002_00,5,ZINC,Zinc
UT14070003-005_00,5,"PHOSPHORUS, TOTAL",Total Phosphorus as P
UT14070003-005_00,5,PH,pH
UT14070003-005_00,5,TEMPERATURE,Max. Temperature
UT14070003-008_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070003-008_00,5,TEMPERATURE,Max. Temperature
UT14070003-008_00,5,ESCHERICHIA COLI (E. COLI),E. coli
UT14070003-009_00,5,TEMPERATURE,Max. Temperature
UT14070003-011_00,5,TEMPERATURE,Max. Temperature
UT14070003-014_00,4A,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070004-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070005-002_00,5,TEMPERATURE,Max. Temperature
UT14070005-003_00,5,TEMPERATURE,Max. Temperature
UT14070005-003_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14070005-007_00,5,TEMPERATURE,Max. Temperature
UT14070005-012_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070005-012_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070006-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070006-001_00,5,SELENIUM,Selenium
UT14070006-001_00,5,TEMPERATURE,Max. Temperature
UT14070006-004_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070006-004_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070007-001_00,5,TEMPERATURE,Max. Temperature
UT14070007-001_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070007-002_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14070007-002_00,5,TEMPERATURE,Max. Temperature
UT14070007-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14070007-005_00,5,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Macroinvertebrates
UT14070007-005_00,5,TOTAL DISSOLVED SOLIDS (TDS),Total Dissolved Solids
UT14080201-004_00,5,TEMPERATURE,Max. Temperature
UT14080201-004_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT14080201-006_00,5,RADIUM,"Radium 226, 228 (Combined)"
UT14080201-006_00,5,DISSOLVED OXYGEN,Minimum Dissolved Oxygen
UT16020202-042_00,5,"AMMONIA, TOTAL",Total Ammonia as N
UT14080201-007_00,5,RADIUM,"Radium 226, 228 (Combined)"
UT16020204-034_00,5,"AMMONIA, TOTAL",Total Ammonia as N
